,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,4,91269,79219,0,5,8,40582,34,2882,1,27,8,78161,38880,15,15,0,15,15,15,0,1,1,2,59430,0,0,1,3
1,4,96095,83235,0,5,8,56920,37,5308,1,27,8,82737,43746,234,234,0,234,234,234,0,1,1,2,58609,0,0,1,3
2,1,118270,141032,0,5,7,21243,34,6775,9,794,8,129498,10364,72879,23,39,91,0,91,5,4,397,213,12830,8374,18019,1,1
3,5,6197,5255,0,1,10,5,30,400,0,4,10,4645,6301,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3
4,4,55609,48682,0,5,5,44105,34,6033,1,27,8,44632,2888,210,210,0,210,210,210,0,1,1,2,58655,0,0,1,3
5,5,28908,27235,0,5,8,15683,34,2292,3,69,8,23522,246,5462,6239,0,5966,5726,5921,1,2,41,14,55103,44242,36434,1,3
6,4,80328,69508,0,5,5,48232,39,7226,1,27,8,68035,27792,71,71,0,71,71,71,0,1,1,2,59159,0,0,1,3
7,7,168497,115575,0,6,8,31359,40,6775,4,94,4,116546,80401,57632,39410,35344,51312,0,51590,4,0,119,0,9313,16725,0,1,1
8,1,122523,145280,10,5,6,52382,40,6776,12,1954,8,133582,3723,84656,41103,31636,53437,0,45948,8,4,933,321,6501,6215,9556,1,1
9,4,53511,46934,0,5,8,40565,34,2638,1,27,8,42974,788,224,224,0,224,224,224,0,1,1,2,58627,0,0,1,3
10,5,4422,3477,0,6,5,27081,34,1325,0,0,4,3560,4437,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
11,6,218758,170129,8,5,5,58295,34,6775,5,194,8,155227,9413,24673,20004,15347,30381,7697,28427,3,2,174,14,31797,27068,6999,1,0
12,1,197676,219369,0,5,6,22722,34,6776,9,853,8,202553,8967,75692,20,35,80,0,80,5,4,456,213,9979,6431,16371,1,0
13,1,117155,139917,0,5,5,47605,40,6775,9,1631,3,130375,9249,91503,84,145,335,0,335,5,4,606,321,1775,1430,1323,1,1
14,4,89888,78012,0,5,6,25033,34,7259,1,27,8,76969,37499,210,210,0,210,210,210,0,1,1,2,58655,0,0,1,3
15,1,119915,142677,0,5,16,58481,29,5657,2,54,8,131679,371,81480,10892,7828,14094,0,14053,0,2,5,16,1143,0,233,1,1
16,4,65194,57143,0,5,6,18707,39,6831,1,27,8,53851,12490,31,31,0,31,31,31,0,1,1,2,59376,0,0,1,3
17,1,209129,230831,0,5,7,53681,40,6775,9,1461,8,213585,4764,69835,31947,24280,41587,0,39356,5,4,436,321,15568,10705,1523,1,0
18,1,114643,137396,0,5,7,53935,34,6775,9,946,8,125537,6578,68413,19,34,78,0,78,5,4,549,213,16881,11723,14199,1,1
