,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,1,125413,148170,0,5,6,53573,40,6776,9,1511,8,136516,7211,72621,41701,36822,50816,0,50960,5,4,486,321,13005,8490,1489,1,1
1,1,109391,132153,0,5,8,46836,34,6775,9,970,8,120880,934,44881,34922,28358,44922,0,42760,5,4,573,213,33583,28219,14110,1,1
2,4,57815,50567,0,5,8,17647,37,2729,1,27,8,46661,5102,636,636,0,636,636,636,0,1,1,2,57847,0,0,1,3
3,6,243398,194140,0,5,7,47102,34,6775,3,147,8,183722,34053,38123,15297,12580,20808,0,20831,2,1,145,2,18735,17070,0,1,0
4,7,187800,129970,0,6,7,43497,39,6775,4,94,4,110874,99704,48049,45610,37134,56528,0,53203,4,0,119,0,11310,20421,0,1,1
5,4,79136,68359,0,5,5,48232,39,7028,0,0,7,66876,26596,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
6,3,139314,95804,0,6,16,23227,34,5867,452,3934,4,95924,767,63586,49482,30428,63015,20177,58144,443,0,2928,0,46791,42221,0,0,2
7,7,144760,100575,0,6,8,17873,40,6775,4,94,4,112975,56664,59908,39625,35696,51893,0,52174,4,0,119,0,8986,14791,0,1,1
8,4,83580,72749,0,5,6,47254,39,4422,8,392,3,71279,31070,1589,1590,0,1591,1590,1591,4,4,229,87,58684,46294,38187,1,3
9,1,124125,146882,0,5,5,33546,34,6776,9,925,8,134563,5923,43110,32717,25147,42292,0,40049,5,4,528,213,35257,29873,14553,1,1
10,6,218690,170061,0,5,6,25633,34,6775,3,147,8,160637,9345,29668,4872,2960,7568,0,7529,2,1,145,2,20227,19344,0,1,0
11,1,194982,216684,0,5,6,56265,34,6776,9,1105,8,200136,6282,69166,81,115,244,0,244,5,4,708,213,16253,11227,28744,1,0
12,1,111777,134539,0,5,5,45813,40,6775,9,1555,8,123721,3320,80905,22559,18215,35552,0,33263,5,4,530,321,6549,4049,13020,1,1
13,7,158661,110491,0,6,8,25857,40,6775,4,94,4,115100,70565,58741,39469,35438,51469,0,51747,4,0,119,0,9148,15507,0,1,1
14,6,231264,182390,8,5,6,172,34,6775,5,194,8,173493,21919,35676,20455,15966,31184,7960,29666,3,2,174,14,30798,26287,6385,1,0
15,6,245909,196640,10,5,7,53950,34,6775,1,97,7,184399,36564,38154,0,0,0,0,0,1,0,121,0,3059,5595,0,1,0
16,4,85092,74070,0,5,5,56325,40,4586,1,27,8,72793,32607,913,913,0,913,913,913,0,1,1,2,57415,0,0,1,3
17,6,243136,193909,0,5,6,4283,34,6775,3,147,8,176748,33791,35011,14896,12317,20340,0,20390,2,1,145,2,19498,18541,0,1,0
18,4,85922,74810,0,5,8,36469,40,2636,1,27,8,73562,33438,1429,1429,0,1429,1429,1429,0,1,1,2,56677,0,0,1,3
19,7,144951,100743,0,6,5,56379,37,6775,5,117,4,98829,56855,57739,42695,33654,53761,0,47794,5,0,142,0,13173,21926,0,1,1
20,1,195547,217249,0,5,6,18184,34,6776,9,922,8,200551,6847,49374,77,109,231,0,231,5,4,525,213,29967,25010,29140,1,0
21,7,145375,101116,0,6,8,18270,40,6775,4,94,4,113080,57279,59896,39606,35668,51828,0,52109,4,0,119,0,8988,14792,0,1,1
