,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,1,191336,213041,0,5,6,51336,34,6776,7,744,8,196557,1820,17708,10234,6323,13055,120,13014,4,3,413,202,39317,34050,24089,1,0
1,4,56777,49723,0,5,6,22812,34,2334,1,27,8,45654,4056,6,6,0,6,6,6,0,1,1,2,59444,0,0,1,3
2,4,56010,49036,0,5,6,22812,34,3437,1,27,8,44986,3289,58,58,0,58,58,58,0,1,1,2,59224,0,0,1,3
3,6,247906,198526,10,5,8,56797,34,6775,1,97,7,191055,38561,40636,0,0,0,0,0,1,0,121,0,2379,3690,0,1,0
4,3,138379,94875,0,6,10,17547,208,5151,1,168,1,94979,101303,11767,27632,0,32692,16628,31137,0,1,22,133,42539,0,0,0,2
5,6,226587,177930,0,5,5,1851,34,6775,3,147,8,158153,17242,25398,7215,4550,10305,0,10259,2,1,145,2,21136,20070,0,1,0
6,1,205957,227608,0,5,7,47141,40,6775,6,1268,1,209991,8131,50079,58,58,115,0,115,3,3,307,311,20887,13452,6716,1,0
7,7,176998,121995,0,6,7,37784,39,6775,4,94,4,107052,88902,50482,45913,37445,57116,0,54183,4,0,119,0,11071,19488,0,1,1
8,7,152384,106786,0,6,5,59077,37,6775,5,117,4,101137,64288,55334,42727,33687,53849,0,48097,5,0,142,0,13557,22899,0,1,1
9,7,188398,130427,11,6,7,43844,39,6775,4,94,4,111066,100302,48009,46891,36633,59002,10932,53154,4,0,119,0,11314,20436,0,1,1
10,7,163821,113278,0,6,8,28756,40,6775,4,94,4,115837,75725,58615,39462,35431,51456,0,51734,4,0,119,0,9204,15563,0,1,1
11,6,256030,206650,10,5,5,12880,34,6775,1,97,7,176643,46685,31277,0,0,0,0,0,1,0,121,0,3948,5860,0,1,0
12,5,45771,41262,0,1,13,5,30,396,0,4,10,36879,17370,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3
13,4,85144,74116,0,5,5,56325,40,2680,1,27,8,72836,32659,540,540,0,540,540,540,0,1,1,2,58004,0,0,1,3
14,7,174930,120191,0,6,8,34851,40,6775,4,94,4,117557,86834,55529,39404,35332,51294,0,51572,4,0,119,0,9621,17288,0,1,1
15,1,192242,213941,0,5,6,52585,34,6776,9,907,8,197250,2720,64210,36,61,142,0,142,5,4,510,213,22020,15643,20226,1,0
16,6,213944,165480,0,5,6,4450,34,6775,3,147,8,156589,4599,27957,5414,3295,8156,0,8114,2,1,145,2,20761,19486,0,1,0
17,7,187901,130064,0,6,7,43660,39,6775,4,94,4,111009,99805,48069,45948,37350,57190,0,53167,4,0,119,0,11308,20416,0,1,1
18,4,73952,64105,0,5,6,29929,34,1372,1,27,8,61841,21340,22,22,0,22,22,22,0,1,1,2,59411,0,0,1,3
